apologetix: apologetix 
extreme: extreme 
doughty: doughty 
blue: blue 
lean: lean 
brett: brett 
blake: blake 
milsap: milsap 
rescue: rescue 
bastard: bastards 
h: h 
faith: faith 
miranda: miranda 
c: c 
sedeck: sedeck 
supreme: supreme 
guide: guide 
translation: translation translations 
april: april 
erin: erin 
different: different 
viol: viol 
eldredge: eldredge 
publisher: publisher 
waxahatchee: waxahatchee 
lambert: lambert 
bridge: bridge 
original: original 
promote: promote 
indian: indian 
scholar: scholars 
forum: forum 
imagine: imagine 
park: park 
distinguish: distinguish 
soundtrack: soundtrack 
policy: policy 
ttning: ttning 
verse: verse 
etc: etc 
kacey: kacey 
edit: edit 
taste: taste 
kelly: kelly 
tim: tim 
peach: peaches 
landevei: landevei 
underwood: underwood 
mcgraw: mcgraw 
yesterday: yesterday 
rock: rock 
commercially: commercially 
eric: eric 
mr: mrs 
randy: randy 
ridge: ridge 
church: church 
virginia: virginia 
ft: ft 
inside: inside 
lynn: lynn 
use: use 
lady: lady 
fact: facts 
vocalist: vocalists 
question: question 
wv: wv 
like: like 
legacy: legacy 
broken: broken 
younger: younger 
written: written 
something: something 
youth: youth 
olivia: olivia 
gimmes: gimmes 
singer: singer 
whitney: whitney 
genius: genius 
b: b 
willie: willie 
recorded: recorded 
repeating: repeating 
abigail: abigail 
ascap: ascap 
alpenkracher: alpenkracher 
x: x 
medley: medley 
however: however 
melky: melky 
vers: vers 
leg: leg 
darius: darius 
kamakawiwo: kamakawiwo 
nat: nat 
danoff: danoff 
chart: charts 
girl: girl 
taffy: taffy 
peyton: peyton 
yoko: yoko 
ur: ur 
restless: restless 
jonathan: jonathan 
cancel: cancel 
produced: produced 
llc: llc 
svenska: svenska 
john: john 
box: box 
town: town 
growing: growing 
luke: luke 
contemporary: contemporary 
