la: la las 
va: va 
penas: penas 
pon: pon 
hip: hip 
carne: carne 
si: si 
escuchando: escuchando 
llegar: llegar 
latin: latin 
componer: componer 
individual: individual 
podr: podr 
phonographic: phonographic 
ndote: ndote 
ultimate: ultimate 
globales: globales 
superar: superar 
nodal: nodal 
fernanda: fernanda 
primera: primera 
song: songs song 
verso: verso 
fui: fui 
licensing: licensing 
saben: saben 
seguido: seguido 
music: music 
contento: contento 
contact: contact 
una: una 
jajai: jajai 
puente: puente 
collection: collection 
ir: ir 
opium: opium 
tengo: tengo 
hop: hop 
dicho: dicho 
alcance: alcance 
hot: hot 
seguramente: seguramente 
qued: qued 
saldr: saldr 
de: de 
industria: industria 
shock: shock 
te: te 
sentimientos: sentimientos 
video: videos 
tragos: tragos 
mo: mo 
p: p 
acuerdo: acuerdo 
creciendo: creciendo 
add: add 
check: check 
english: english 
sign: sign 
dentro: dentro 
rolling: rolling 
su: su 
k: k 
gera: gera 
vece: vece 
might: might 
parado: parado 
cupid: cupid 
featured: featured 
comment: comment comments 
vagos: vagos 
ask: ask 
show: shows 
momento: momento 
gr: gr 
regional: regional 
drop: drop 
hablo: hablo 
excl: excl 
le: le 
mano: mano 
rescue: rescue 
adem: adem 
universal: universal 
h: h 
agradable: agradable 
c: c 
herida: herida 
guide: guide 
translation: translation translations 
april: april 
sinceros: sinceros 
creatividad: creatividad 
top: top 
olvidarte: olvidarte 
tomando: tomando 
different: different 
este: este 
querida: querida 
botella: botella 
tema: tema 
promote: promote 
scholar: scholars 
partido: partido 
forum: forum 
jam: jam 
pedas: pedas 
solo: solo 
pongo: pongo 
distinguish: distinguish 
quisiera: quisiera 
nuevo: nuevo 
celos: celos 
sal: sal 
policy: policy 
verse: verse 
etc: etc 
ficos: ficos 
porque: porque 
estaba: estaba 
amos: amos 
aun: aun 
canci: canci 
entrar: entrar 
inside: inside 
use: use 
quiero: quiero 
fact: facts 
vocalist: vocalists 
triste: triste 
llamarte: llamarte 
question: question 
traigo: traigo 
do: dos 
like: like 
ti: ti 
completamente: completamente 
mi: mis 
historia: historia 
broken: broken 
global: global 
virgin: virgin 
written: written 
borracho: borracho 
ten: ten 
genius: genius 
b: b 
repeating: repeating 
joderlo: joderlo 
qu: qu 
sali: sali 
x: x 
pa: pa 
cil: cil 
recuerdo: recuerdo 
ey: ey 
ambo: ambos 
cover: covers 
chart: charts 
lista: lista 
responsabilidad: responsabilidad 
muy: muy 
cancel: cancel 
produced: produced 
llc: llc 
el: el 
tengas: tengas 
dej: dej 
pueda: pueda 
