q: q 
fall: fall 
osborne: osborne 
impossibility: impossibility 
artist: artists 
reference: references 
others: others 
ft: ft 
rutherford: rutherford 
collection: collection 
p: p 
favor: favor 
back: back 
way: way 
american: american 
canada: canada 
presumably: presumably 
verse: verse 
keep: keep 
flood: flood 
licensing: licensing 
carmen: carmen 
share: share 
transcriber: transcribers 
rose: rose 
turn: turn 
giant: giants 
ya: ya 
pink: pink 
shall: shall 
suzie: suzie 
trying: trying 
none: none 
lucca: lucca 
sixty: sixties 
distinguish: distinguish 
connection: connection 
resch: resch 
son: son 
director: director 
cover: covers 
view: view 
billy: billy 
double: double 
healey: healey 
x: x 
hello: hello 
rack: rack 
drum: drums 
repeating: repeating 
guide: guide 
rather: rather 
inside: inside 
annotation: annotation 
big: big 
harmony: harmony 
term: terms 
black: black 
pressing: pressing 
lyric: lyric lyrics 
version: version 
duke: duke 
got: got 
check: check 
viridiana: viridiana 
really: really 
piano: piano 
hiof: hiof 
curtis: curtis 
walking: walking 
fact: facts 
personal: personal 
credited: credited 
say: say says 
italic: italics 
easily: easily 
fever: fever 
ackles: ackles 
man: man 
went: went 
wheel: wheel 
lars: lars 
posterior: posterior 
chest: chest 
j: j 
lead: leads 
jaime: jaime 
speight: speight 
use: use 
spanish: spanish 
experience: experience 
section: section 
though: though 
miss: miss 
single: single 
later: later 
surprisingly: surprisingly 
told: told 
time: time 
video: videos 
friend: friend 
interpolate: interpolate 
developer: developers 
film: films 
matt: matt 
frontal: frontal 
inspiration: inspiration 
grinned: grinned 
great: great 
love: love 
surrealist: surrealist 
appears: appears 
tune: tune 
hot: hot 
magazine: magazine 
boy: boy 
pulled: pulled 
un: un 
put: put 
kingdom: kingdom 
life: life 
engineer: engineer 
obvious: obvious 
released: released 
also: also 
lay: lay 
saw: saw 
irony: irony 
rock: rock 
perfectly: perfectly 
supremes: supremes 
jackie: jackie 
garth: garth 
ask: ask 
recorded: recorded 
peach: peaches 
east: east 
member: member 
swore: swore 
musical: musical 
january: january 
let: let 
rex: rex 
annotationas: annotationas 
twenty: twenty 
womack: womack 
chris: chris 
known: known 
k: k 
king: king 
